Word,Korean Translation
continue,계속하다
contract,"계약, 수축하다"
contradict,모순되다
contrary,반대의
contrast,"대조, 대비"
contribute,기여하다
controversy,논쟁
convene,소집하다
convenient,편리한
convention,관례
conversation,대화
converse,대화하다
convert,전환하다
convey,전달하다
convict,유죄판결을 내리다
convince,설득하다
cooperate,협력하다
coordinate,조정하다
copyright,저작권
cord,끈
core,"핵심, 중심"
corn,옥수수
corporate,기업의
corporation,기업
correspond,"일치하다, 서신교환하다"
corridor,복도
corrupt,부패한
costume,의상
cottage,오두막
cough,기침
council,의회
counsel,조언하다
counter,반대하다
counterpart,상대방
countryside,시골
courage,용기
craft,"공예, 기술"
crawl,기어가다
craze,열광
creature,생물
credible,믿을 수 있는
creed,신조
creep,기어가다
crew,승무원
criminal,범죄자
crisis,위기
crisp,바삭바삭한
criteria,기준
criterion,기준
critic,비평가
criticize,비판하다
crop,농작물
crucial,중요한
crude,조잡한
cruel,잔인한
cruise,유람하다
crush,부수다
crystal,수정
cue,신호
cultivate,경작하다
curiosity,호기심
curious,호기심 있는
curl,곱슬거리다
currency,통화
curriculum,교과과정
curse,저주
curve,곡선
custody,보관
custom,"관습, 세관"
cycle,주기
cynical,냉소적인
dairy,유제품
damage,손상
damp,축축한
darling,사랑하는
dash,돌진하다
database,데이터베이스
datum,데이터
debate,토론
decade,10년
decay,부패하다
deceive,속이다
decent,품위 있는
declare,선언하다
declension,어형변화
decline,거절하다
decorate,장식하다
decrease,감소하다
dedicate,헌신하다
defeat,패배
defect,결함
defend,방어하다
defendant,피고
defense,방어
deficiency,결핍
deficit,적자
define,정의하다
definite,명확한
deflect,비키다
defy,거역하다
degree,"정도, 학위"
delay,지연
delegate,대표
delete,삭제하다
deliberate,"신중한, 고의적인"
delicate,섬세한
delight,기쁨
deliver,배달하다
demand,요구하다
democracy,민주주의
democrat,민주당원
demon,악마
demonstrate,증명하다
dense,밀집한
dentist,치과의사
deny,부정하다
depart,출발하다
department,부서
departure,출발
depend,의존하다
dependence,의존
depict,묘사하다
deposit,"예금, 보증금"
depress,우울하게 하다
deprive,박탈하다
derive,유래하다
descend,내려가다
describe,설명하다
description,설명
desert,"사막, 버리다"
deserve,~할 만하다
designate,지정하다
desire,욕망
despair,절망
desperate,필사적인
despise,경멸하다
despite,~에도 불구하고
destination,목적지
destine,운명짓다
destiny,운명
destroy,파괴하다
destruct,파괴하다
destruction,파괴
detach,분리하다
detail,세부사항
detect,발견하다
determine,결정하다
develop,발전하다
device,장치
devil,악마
devise,고안하다
devote,바치다
diabetes,당뇨병
dictate,명령하다
differ,다르다
digest,소화하다
dignity,존엄
dilemma,딜레마
dim,어두운
dimension,차원
diminish,감소하다
dine,식사하다
dip,담그다
diplomat,외교관
direct,"직접적인, 지시하다"
dirty,더러운
disabled,장애가 있는
disadvantage,불이익
disappear,사라지다
disappoint,실망시키다
disaster,재난
discard,버리다
discern,식별하다
discharge,"방출하다, 해고"
discipline,규율
discount,할인
discourage,낙담시키다
discourse,담론
discrete,분리된
discriminate,차별하다
disease,질병
disguise,변장하다
disgust,혐오감
dismay,당황
dismiss,해고하다
disorder,무질서
dispatch,발송하다
display,전시하다
dispose,처분하다
dispute,논쟁
disrupt,방해하다
dissolve,용해하다
distance,거리
distinct,뚜렷한
distinguish,구별하다
distort,왜곡하다
distract,산만하게 하다
distress,고통
distribute,분배하다
district,지역
disturb,방해하다
