Word,Korean Translation
myth,신화
naive,순진한
naked,벌거벗은
narrate,서술하다
narrative,이야기
nasty,불쾌한
native,원주민의
neat,깔끔한
necessary,필요한
needle,바늘
negate,부정하다
negative,부정적인
neglect,방치하다
negotiate,협상하다
neither,어느 것도 아닌
nephew,조카
nerve,신경
neutral,중립적인
nevertheless,그럼에도 불구하고
nightmare,악몽
noble,고귀한
noise,소음
nominate,지명하다
nonetheless,그럼에도 불구하고
norm,규범
normal,정상적인
notice,주목하다
notify,통지하다
novel,"소설, 새로운"
nowadays,요즘
nowhere,어디에도 없는
nuclear,핵의
nuisance,성가신 것
numerous,많은
nutrition,영양
obesity,비만
object,"물체, 반대하다"
objective,목표
oblige,강요하다
obscure,모호한
observe,관찰하다
obsess,사로잡히다
obtain,얻다
obvious,명백한
occasion,경우
occupation,"직업, 점령"
occupy,차지하다
occur,발생하다
occurrence,발생
ocean,대양
offend,불쾌하게 하다
omit,생략하다
operate,작동하다
opinion,의견
opportune,시기적절한
opportunity,기회
oppose,반대하다
opt,선택하다
optimal,최적의
optimist,낙관주의자
option,선택
oral,구두의
orbit,궤도
orchard,과수원
ordinary,평범한
organ,"장기, 기관"
organic,유기적인
organism,유기체
orient,동양의
orientation,방향
origin,기원
orphan,고아
otherwise,그렇지 않으면
outbreak,발생
outcome,결과
outlaw,범법자
outline,개요
outlook,전망
output,산출
outrage,분노
outset,시작
outstanding,뛰어난
oval,타원형의
overall,전반적인
overcome,극복하다
overhead,머리 위의
overlap,중복되다
overlook,간과하다
overnight,하룻밤 사이에
oversea,해외의
oversee,감독하다
overwhelm,압도하다
owe,빚지다
pace,속도
package,꾸러미
pad,패드
palace,궁전
pale,창백한
palm,손바닥
panel,패널
panic,공포
parade,퍼레이드
paradigm,패러다임
paradox,역설
paragraph,단락
parallel,평행의
pardon,용서
parliament,의회
partial,부분적인
participate,참여하다
particle,입자
particular,특별한
particularly,특히
passage,통로
passenger,승객
passion,열정
passport,여권
pat,토닥이다
patch,조각
patent,특허
patient,"환자, 인내심 있는"
patrol,순찰
patron,후원자
pattern,패턴
pause,멈추다
pave,포장하다
pavement,보도
peaceful,평화로운
peak,정상
pear,배
peasant,농민
peculiar,특이한
peel,껍질을 벗기다
peer,동료
penalty,벌금
pepper,후추
perceive,인지하다
perception,인식
perform,수행하다
perhaps,아마도
permanent,영구적인
permit,허가하다
perpetual,영구적인
persist,지속하다
personality,성격
perspective,관점
persuade,설득하다
phase,단계
phenomenon,현상
philosophy,철학
phrase,구절
physical,물리적인
physics,물리학
pill,알약
pinch,꼬집다
pioneer,개척자
pity,동정
plague,전염병
planet,행성
plate,접시
platform,플랫폼
plausible,그럴듯한
pledge,서약
plenty,풍부한
plot,"줄거리, 음모"
plunge,급락하다
poison,독
polar,극지의
policy,정책
polish,광택을 내다
polite,공손한
politics,정치
poll,여론조사
pollute,오염시키다
pond,연못
ponder,숙고하다
populate,거주하다
population,인구
portion,부분
portrait,초상화
pose,"자세를 취하다, 제기하다"
posit,가정하다
positive,긍정적인
possess,소유하다
possible,가능한
posture,자세
potential,잠재적인
pottery,도자기
practical,실용적인
practice,연습
praise,칭찬
preach,설교하다
precede,선행하다
precise,정확한
predator,포식자
predict,예측하다
prefer,선호하다
pregnant,임신한
prejudice,편견
premium,프리미엄
prepare,준비하다
