Word,Korean Translation
prepare,준비하다
prescribe,처방하다
presence,존재
preserve,보존하다
preside,주재하다
presume,추정하다
pretend,가장하다
prevail,널리 퍼지다
prevent,예방하다
preview,미리보기
previous,이전의
prey,먹이
pride,자부심
priest,성직자
primary,주요한
primitive,원시적인
principal,"교장, 주요한"
principle,원칙
prior,이전의
prison,감옥
privacy,사생활
private,사적인
privilege,특권
prize,상
probable,있음직한
probably,아마도
probe,조사하다
procedure,절차
proceed,진행하다
produce,생산하다
profession,직업
professor,교수
profile,프로필
profit,이익
profound,심오한
progress,진전
prohibit,금지하다
prolong,연장하다
prominent,저명한
promise,약속
promote,촉진하다
prompt,신속한
prone,~하기 쉬운
pronounce,발음하다
pronunciation,발음
proof,증거
propel,추진하다
proper,적절한
property,재산
prophecy,예언
proportion,비율
propose,제안하다
prospect,전망
prosper,번영하다
protect,보호하다
protein,단백질
protest,항의하다
provide,제공하다
province,지방
provoke,자극하다
psychology,심리학
publicity,홍보
publish,출판하다
publisher,출판사
pulse,맥박
punish,처벌하다
purchase,구매하다
purpose,목적
pursue,추구하다
qualify,자격을 갖추다
quality,품질
quantity,수량
quarter,4분의 1
quest,탐구
questionnaire,설문지
quote,인용하다
radical,급진적인
rage,분노
rally,집회
random,무작위의
rank,등급
rapid,빠른
rational,합리적인
raw,날것의
ray,광선
react,반응하다
realize,깨닫다
realm,영역
rear,"뒤쪽의, 기르다"
reasonable,합리적인
rebel,반란을 일으키다
receipt,영수증
receive,받다
reception,접수
recipe,조리법
recite,암송하다
reckless,무모한
recognize,인식하다
recommend,추천하다
recover,회복하다
recruit,모집하다
recycle,재활용하다
reduce,줄이다
refer,참조하다
referee,심판
refine,정제하다
reflect,반영하다
reform,개혁하다
refrigerate,냉장하다
refrigerator,냉장고
refuge,피난처
refuse,거절하다
regard,"관심, 여기다"
regime,정권
register,등록하다
regret,후회하다
regular,규칙적인
regulate,규제하다
rehearsal,리허설
reign,통치하다
reinforce,강화하다
reject,거절하다
rejoice,기뻐하다
relate,관련시키다
relation,관계
relationship,관계
relative,"친척, 상대적인"
relax,휴식을 취하다
release,방출하다
relevant,관련 있는
relief,안도
relieve,완화하다
religion,종교
reluctant,꺼리는
remain,남다
remark,발언
remedy,치료제
remind,상기시키다
remote,멀리 있는
remove,제거하다
render,만들다
renew,갱신하다
renowned,유명한
repair,수리하다
repeat,반복하다
replace,교체하다
reply,대답하다
represent,대표하다
republic,공화국
reputation,평판
request,요청
require,요구하다
rescue,구조하다
research,연구
resemble,닮다
resent,분개하다
reserve,예약하다
reservoir,저수지
reside,거주하다
resident,거주자
resign,사임하다
resist,저항하다
resolve,해결하다
resort,"리조트, 의지하다"
resource,자원
respect,존경
respective,각각의
respond,응답하다
responsible,책임이 있는
restore,복원하다
restrain,제지하다
restrict,제한하다
resume,재개하다
retail,소매
retain,유지하다
retire,은퇴하다
retreat,후퇴
reveal,드러내다
revenge,복수
revenue,수입
reverse,반대의
revise,수정하다
revive,소생시키다
revolution,혁명
reward,보상
rhythm,리듬
rid,제거하다
ridicule,조롱
ridiculous,터무니없는
rigid,엄격한
riot,폭동
ripe,익은
rival,경쟁자
roar,포효
roast,구운
rod,막대
rot,썩다
route,경로
routine,일상적인
rubber,고무
rubbish,쓰레기
