Word,Korean Translation
suspend,중단하다
sustain,유지하다
swallow,삼키다
swear,맹세하다
sweat,땀
sweep,쓸다
swell,부풀다
swift,빠른
symbol,상징
sympathy,동정
symphony,교향곡
symptom,증상
synthetic,합성의
tackle,"다루다, 태클"
tact,재치
tactics,전술
tag,꼬리표
tame,길들이다
target,목표
task,과제
tease,놀리다
technique,기술
technology,기술
teenage,십대의
telegraph,전보
temper,성질
temperature,온도
temple,"사원, 관자놀이"
temporary,일시적인
tempt,유혹하다
tenant,세입자
tender,"부드러운, 입찰"
tense,"시제, 긴장된"
terminal,터미널
terminate,종료하다
terrace,테라스
terrain,지형
terrible,끔찍한
terrific,굉장한
territory,영토
terrorist,테러리스트
testify,증언하다
textile,직물
theater,극장
theme,주제
theory,이론
therapy,치료
therefore,그러므로
thief,도둑
thorough,철저한
thousand,천
thread,실
thrive,번성하다
throat,목구멍
thumb,엄지손가락
tick,똑딱 소리
tidy,깔끔한
timber,목재
tissue,조직
toast,"토스트, 건배"
toll,통행료
tongue,혀
topic,주제
torture,고문
toward,~을 향하여
toxic,유독한
trace,흔적
tradition,전통
traffic,교통
tragic,비극적인
trail,자취
transact,거래하다
transaction,거래
transfer,이동하다
transform,변형하다
transition,전환
translate,번역하다
transmit,전송하다
transplant,이식하다
transport,운송하다
transportation,운송
tray,쟁반
treasure,보물
treaty,조약
tremendous,엄청난
trend,경향
tribe,부족
trigger,방아쇠
trim,다듬다
triumph,승리
trivial,사소한
troop,부대
trouble,문제
trunk,"몸통, 트렁크"
turnover,회전율
twist,비틀다
tyrant,폭군
ultimate,최종의
unaware,모르는
undergo,겪다
underlie,기초가 되다
undermine,약화시키다
undertake,착수하다
undo,원상태로 하다
unify,통일하다
unique,독특한
unite,연합하다
universe,우주
university,대학교
unless,~하지 않는 한
unprecedented,전례 없는
upcoming,다가오는
update,갱신하다
upper,위쪽의
upset,"화나게 하다, 뒤엎다"
upward,위쪽으로
urban,도시의
urge,촉구하다
urgent,긴급한
utilize,활용하다
utmost,최대한의
utter,완전한
vacant,비어있는
vacate,비우다
vaccine,백신
vacuum,진공
vague,모호한
valid,유효한
valley,계곡
vanish,사라지다
vapor,증기
various,다양한
vary,다양하다
vast,광대한
vehicle,차량
velocity,속도
venture,"모험, 벤처"
verbal,구두의
verdict,평결
verify,확인하다
verse,운문
version,버전
versus,대
vertical,수직의
vessel,선박
veteran,베테랑
veterinarian,수의사
vice,악덕
victim,희생자
vigor,활력
vigorous,활기찬
villa,별장
village,마을
violate,위반하다
violent,폭력적인
virtual,가상의
virtue,미덕
virus,바이러스
visible,보이는
vision,시력
visual,시각의
vital,필수적인
vivid,생생한
vocabulary,어휘
vocation,직업
volume,부피
volunteer,자원봉사자
vomit,토하다
vow,맹세
vulnerable,취약한
wander,방황하다
warehouse,창고
warrant,보증하다
wealth,부
weapon,무기
weave,짜다
weed,잡초
weep,울다
weigh,무게를 달다
weird,이상한
welfare,복지
whale,고래
wheat,밀
whereas,반면에
whip,채찍
whisper,속삭이다
whistle,휘파람
wicked,사악한
wit,재치
withdraw,철수하다
withhold,보류하다
withstand,견디다
witness,목격자
wonder,궁금해하다
wool,양모
worship,숭배하다
wound,상처
wreck,난파
yell,소리치다
yield,산출하다
zone,지역
