Word,Korean Translation
flavor,맛
flaw,결함
flee,도망가다
flesh,살
flexible,유연한
flip,뒤집다
float,떠다니다
flock,무리
flourish,번창하다
fluent,유창한
fluid,유동체
flush,홍조
fond,좋아하는
forbid,금지하다
forecast,예측
forehead,이마
foreign,외국의
foremost,가장 중요한
forgive,용서하다
format,형식
former,이전의
formula,공식
fortunate,운이 좋은
fortune,"재산, 운"
forward,앞으로
fossil,화석
foster,양육하다
foundation,기초
fountain,분수
fraction,분수
fragile,깨지기 쉬운
fragment,조각
frame,"틀, 구조"
framework,구조
frankly,솔직히
fraud,사기
freeze,얼다
frequent,빈번한
friction,마찰
fright,공포
frontier,국경
frost,서리
frown,찡그리다
frustrate,좌절시키다
fuel,연료
fulfil,이행하다
function,기능
fundamental,기본적인
funeral,장례식
furious,격노한
furnish,가구를 갖추다
furniture,가구
furthermore,게다가
fury,분노
fuse,퓨즈
gallery,화랑
gamble,도박하다
gap,간격
garage,차고
garment,의복
gather,모으다
gaze,응시하다
gender,성별
gene,유전자
general,"일반적인, 장군"
generate,발생시키다
generation,세대
generous,관대한
genetic,유전의
genius,천재
genre,장르
gentle,온화한
genuine,진짜의
geography,지리학
geology,지질학
geometry,기하학
germ,세균
gesture,몸짓
gigantic,거대한
glacier,빙하
glance,"흘긋 보다, 일별"
glare,눈부시다
glimpse,일별
global,세계적인
globe,지구
glory,영광
glow,빛나다
glue,접착제
goat,염소
gorgeous,화려한
govern,통치하다
government,정부
grace,우아
gradual,점진적인
graduate,"졸업하다, 대학원생"
grain,곡물
graphic,그래픽의
grasp,"잡다, 이해하다"
grateful,감사하는
grave,"무덤, 심각한"
gravity,중력
graze,방목하다
greed,탐욕
greet,인사하다
grief,비탄
grip,잡다
grocery,식료품점
gross,총계의
guarantee,보증하다
guardian,보호자
guideline,지침
guilt,죄책감
guilty,죄가 있는
gulf,만
gymnasium,체육관
habitat,서식지
halt,멈추다
handicap,장애
handle,"다루다, 손잡이"
harbor,항구
harmonious,조화로운
harmony,조화
harsh,가혹한
harvest,수확
haste,서두름
haunt,출몰하다
hazard,위험
headquarters,본부
heal,치료하다
heir,상속인
hence,그러므로
herd,무리
heritage,유산
hesitate,주저하다
hierarchy,계층
hinder,방해하다
holy,신성한
honor,명예
hook,갈고리
horizon,지평선
host,"주최자, 진행자"
hostile,적대적인
household,가정
humanity,인류
humble,겸손한
humid,습한
humor,유머
hunger,굶주림
hut,오두막
hybrid,혼종
hydrogen,수소
hygiene,위생
hypothesis,가설
ideal,이상적인
identical,동일한
identify,확인하다
identity,정체성
ideology,이념
ignore,무시하다
illude,현혹하다
illusion,환상
illustrate,설명하다
imagine,상상하다
imitate,모방하다
immediate,즉각적인
immense,거대한
immigrate,이민가다
immune,면역의
impact,영향
imperial,제국의
implement,실행하다
imply,암시하다
import,수입하다
importance,중요성
impose,부과하다
impress,감동시키다
improve,개선하다
impulse,충동
incentive,동기
incident,사건
incline,기울이다
include,포함하다
income,수입
incorporate,통합하다
increase,증가하다
incredible,믿을 수 없는
indeed,정말로
independent,독립적인
index,색인
indicate,나타내다
individual,개인
induce,유도하다
indulge,탐닉하다
industry,산업
inevitable,불가피한
infant,유아
infect,감염시키다
infer,추론하다
inference,추론
infinite,무한한
inflate,부풀리다
