Word,Korean Translation
inflate,부풀리다
influence,영향
inform,알리다
ingredient,재료
inhabit,거주하다
inherent,고유의
inhibit,억제하다
initial,처음의
inject,주입하다
injure,다치게 하다
inn,여관
innate,타고난
innocent,무죄의
innovate,혁신하다
input,"입력, 투입"
inquire,문의하다
insane,미친
insert,삽입하다
insight,통찰력
insist,주장하다
inspect,검사하다
inspire,영감을 주다
install,설치하다
instance,사례
instant,즉각적인
instead,대신에
instinct,본능
institute,"설립하다, 연구소"
institution,기관
instruct,가르치다
instrument,"도구, 악기"
insult,모욕하다
insurance,보험
insure,보증하다
intact,손상되지 않은
integrate,통합하다
intellect,지성
intellectual,지적인
intelligent,영리한
intend,의도하다
intense,강렬한
intent,의도
intention,의도
interest,"관심, 이자"
interfere,간섭하다
interior,내부의
intermediate,중간의
internal,내부의
interpret,해석하다
interrupt,방해하다
interval,간격
intervene,개입하다
intimate,친밀한
intrigue,"음모, 호기심을 자아내다"
invade,침략하다
invent,발명하다
inventor,발명가
invest,투자하다
investigate,조사하다
involve,포함하다
irony,반어법
irritate,짜증나게 하다
isolate,고립시키다
jail,감옥
joint,"관절, 공동의"
journal,일지
journey,여행
junior,후배
jury,배심원
justice,정의
justify,정당화하다
keen,열망하는
kit,도구
knight,기사
knot,매듭
label,라벨
laboratory,실험실
ladder,사다리
landfill,매립지
landscape,풍경
language,언어
lap,무릎
latter,후자의
launch,"발사하다, 시작하다"
laundry,세탁
lawn,잔디
lawyer,변호사
leak,새다
leap,뛰다
lease,임대하다
leather,가죽
lecture,강의
legend,전설
legislate,입법하다
legitimate,합법적인
leisure,여가
lend,빌려주다
lessen,줄이다
liable,"책임이 있는, ~하기 쉬운"
liberal,자유주의의
liberty,자유
license,면허
likewise,마찬가지로
limit,제한하다
limp,절뚝거리다
linger,오래 남다
linguistic,언어의
liquid,액체
literature,문학
locate,위치시키다
logic,논리
lone,혼자의
loose,느슨한
lord,군주
loyal,충성스러운
lump,덩어리
lure,"유혹하다, 미끼"
lyric,가사
magnet,자석
magnificent,웅장한
magnitude,규모
maintain,유지하다
majority,대다수
mammal,포유류
manage,관리하다
mandate,명령
manifest,명백한
manipulate,조종하다
manner,방식
manufacture,제조하다
manuscript,원고
margin,여백
marine,해양의
martial,군사의
marvel,경이
master,"숙달하다, 주인"
material,물질
mature,성숙한
maximum,최대의
mayor,시장
meanwhile,그동안
measure,측정하다
mechanic,정비공
mechanism,기계장치
mediate,중재하다
medical,의학의
medicine,의학
medieval,중세의
medium,"중간의, 매체"
melt,녹다
mental,정신의
mention,언급하다
merchant,상인
mere,단순한
merge,합병하다
merit,장점
metaphor,은유
method,방법
metropolitan,대도시의
microphone,마이크
microwave,전자레인지
migrant,이주자
migrate,이주하다
mild,온화한
military,군사의
mimic,모방하다
miner,광부
mineral,광물
minimal,최소한의
minimum,최소
ministry,부처
minor,작은
miracle,기적
miserable,비참한
missile,미사일
mission,임무
mobile,이동성의
mock,조롱하다
mode,방식
moderate,적당한
modest,겸손한
modify,수정하다
moist,습기 있는
moisture,수분
molecule,분자
monetary,금전적인
monitor,감시하다
monument,기념물
moral,도덕적인
morale,사기
moreover,게다가
mortal,죽을 수밖에 없는
mortgage,저당
motive,동기
multiple,다수의
murder,살인
muscle,근육
mushroom,버섯
mutual,상호의
mystery,신비
myth,신화
